"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Dataset","Significant","Regulation"
-1.35418380208333,6.77506072368421,-4.32553212557176,8.25703722262793e-05,0.000460512882810969,1.29856750678471,"CAMKK2","GSE41177",TRUE,"DOWN in Disease"
-1.19704114583333,6.54128631578947,-4.16272701845116,0.000138705679979196,0.000648914286765743,0.808845503051772,"CAMK1","GSE41177",TRUE,"DOWN in Disease"
-1.09772666666667,6.84444723684211,-3.9761673793755,0.000249092071287877,0.000959671615606808,0.25776903757428,"CAMKK1","GSE41177",TRUE,"DOWN in Disease"
-0.93835267361111,6.45290561403509,-3.72097567348279,0.000545321863009758,0.00164793799006598,-0.476405862627508,"CAMK2G","GSE41177",TRUE,"DOWN in Disease"
-0.964332048611111,3.71885298245614,-3.6995489440731,0.000581830361613713,0.00171998507757177,-0.536927325866291,"CAMK4","GSE41177",TRUE,"DOWN in Disease"
-0.838463833333332,8.05232747368421,-3.41685429333029,0.00134674823291472,0.00311092299378499,-1.31751100499755,"CAMK2B","GSE41177",TRUE,"DOWN in Disease"
-0.709518359374999,7.58307789473684,-2.80219774678611,0.00743865573858889,0.0115480111565263,-2.88192053758048,"CAMK1D","GSE41177",TRUE,"DOWN in Disease"
-0.990229687499998,6.11087763157895,-2.77645159792002,0.0079594450535316,0.0121896966677231,-2.94292927383631,"CAMKV","GSE41177",TRUE,"DOWN in Disease"
-0.830550729166666,5.89896197368421,-2.48790448051927,0.0165889648320247,0.0224779363293222,-3.59872589271419,"CAMK2A","GSE41177",TRUE,"DOWN in Disease"
-0.755910104166665,5.24445171052632,-2.39702819537312,0.0207075377875684,0.0272057880180542,-3.79412548682286,"CAMK1G","GSE41177",TRUE,"DOWN in Disease"
-0.777713541666664,8.345374,-2.29361228684692,0.0264971490456578,0.0337319498823575,-4.00964278209876,"CAMK2D","GSE41177",TRUE,"DOWN in Disease"
0.181548273809524,5.11650090384615,3.22532698962729,0.00322405058175397,0.0321922937980225,-1.92396258229245,"CAMK1G","GSE79768",TRUE,"UP in Disease"
0.27971880952381,8.19573872115385,3.08419649265918,0.00459450747535746,0.0398864254769414,-2.24905168379932,"CAMK1D","GSE79768",TRUE,"UP in Disease"
-0.152632599999999,8.73003058461538,-2.36982905690515,0.0250169802903677,0.11179095720527,-3.77370426041039,"CAMK2D","GSE79768",FALSE,"DOWN in Disease"
-0.0949735684523804,7.14090725961538,-1.71836052758866,0.0969097749285713,0.257411719558473,-4.92661228383912,"CAMKK2","GSE79768",FALSE,"DOWN in Disease"
-0.0558296785714288,4.09925521794872,-1.09885339855702,0.281307497375433,0.495580621428833,-5.73987604874181,"CAMK4","GSE79768",FALSE,"DOWN in Disease"
0.042440323412698,6.67130969871795,1.05746704295099,0.299449302750055,0.514977702180044,-5.78281596312507,"CAMK2G","GSE79768",FALSE,"UP in Disease"
0.0300173392857142,7.12703269230769,0.619958682580378,0.540360535086059,0.723686027081713,-6.14123608372226,"CAMKK1","GSE79768",FALSE,"UP in Disease"
0.0124032678571431,6.53069369230769,0.235411780527214,0.815623847855475,0.903424389130991,-6.30503341618733,"CAMK2A","GSE79768",FALSE,"UP in Disease"
-0.0144874476190475,8.2727891,-0.142391279153768,0.887803370148741,0.94226836096513,-6.32265221970395,"CAMK2B","GSE79768",FALSE,"DOWN in Disease"
-0.00371829761904765,6.87024082692308,-0.0816529101361989,0.935510872922535,0.966874287005695,-6.32948068875199,"CAMK1","GSE79768",FALSE,"DOWN in Disease"
0.000834964285714348,6.99616715384615,0.0150711966097031,0.98808359365784,0.994171822679289,-6.33271348607451,"CAMKV","GSE79768",FALSE,"UP in Disease"
0.193682943208394,8.54450685444954,5.59080177529032,6.63257432793503e-08,4.6147770676055e-07,7.48075700934821,"CAMK2B","GSE57338",TRUE,"UP in Disease"
-0.146524202396163,6.28010648047248,-4.74230675799869,3.78856768483213e-06,1.89653113911493e-05,3.58379098811993,"CAMK1","GSE57338",TRUE,"DOWN in Disease"
0.0996680580362269,5.57025847106881,3.63278130747803,0.000348641920839925,0.00118818668428266,-0.703898687956288,"CAMK2A","GSE57338",TRUE,"UP in Disease"
0.131110054514527,6.79835678603211,3.57467778416503,0.000430606108536578,0.00143409743084304,-0.901146938639397,"CAMK2G","GSE57338",TRUE,"UP in Disease"
-0.0683838829478123,4.49056043981193,-2.58340908076332,0.0104275830517655,0.0246815784890101,-3.81744805691737,"CAMKK1","GSE57338",TRUE,"DOWN in Disease"
0.0709143612250717,3.92892905512844,2.52184038064896,0.0123792921479713,0.0286319724980029,-3.96973908436627,"CAMK4","GSE57338",TRUE,"UP in Disease"
0.0405125295442981,10.0994159303211,1.52975466287139,0.127508046689243,0.208893308876805,-5.93613187271676,"CAMK2D","GSE57338",FALSE,"UP in Disease"
-0.0214550828665708,3.42528380911927,-1.07586547473128,0.283160939127403,0.396758330064782,-6.52149241466531,"CAMKV","GSE57338",FALSE,"DOWN in Disease"
0.0201912953692612,6.12793224522018,0.745267903789309,0.456901919521376,0.574324550238065,-6.82069054268502,"CAMKK2","GSE57338",FALSE,"UP in Disease"
0.038929154275646,5.70114016437156,0.572558038604623,0.567526198712984,0.675204160522368,-6.93401169851687,"CAMK1D","GSE57338",FALSE,"UP in Disease"
0.00633566720032315,3.02977305680734,0.308241109416754,0.75818931128003,0.830208483033234,-7.05004765259786,"CAMK1G","GSE57338",FALSE,"UP in Disease"
